entry_id,molecule,mapping,ansatz_type,n_qubits,status,flags,n_1q,n_2q,gap_mHa,c_I_minus_E_Ha,penalty_opt_mHa,noisy_gap_opt_mHa,meets_opt,eps_eff_opt,eps_model_opt,penalty_current_mHa,noisy_gap_current_mHa,meets_current,eps_eff_current,eps_model_current,penalty_pessimistic_mHa,noisy_gap_pessimistic_mHa,meets_pessimistic,eps_eff_pessimistic,eps_model_pessimistic,penalty_device-sc_mHa,noisy_gap_device-sc_mHa,meets_device-sc,eps_eff_device-sc,eps_model_device-sc,zne_residual_mHa,zne_gap_mHa,meets_after_zne,reason
H4_ccpvdz_JW_HEA_v4_tapered__sha256_2cb5ee33e450acbd,H4,jordan_wigner,hea,5,ok,,25,16,9.282608776564949,1.2947625779579113,26.662137814837283,35.944746591402236,False,0.020592298749388158,0.044985439476034395,126.76994520176166,136.0525539783266,False,0.09790980011308495,0.20603813314403752,238.4522528779094,247.73486165447434,False,0.18416677847918209,0.3705395316477387,160.83647306063753,170.1190818372025,False,0.1242208230286571,,2.1492076422817696,11.431816418846719,False,
H4_ccpvdz_JW_UCCSD_v4_tapered__sha256_7606caf47ff39f40,H4,jordan_wigner,uccsd_tapered,5,ok,,713,576,2.2217948968297208,1.3018233918376465,670.7798120998667,673.0016069966964,False,0.5152617600095492,0.8044810388228261,1222.6725525110173,1224.8943474078471,False,0.9392000175884839,0.9997201358351243,1292.5456978804925,1294.7674927773223,False,0.9928733083033194,0.9999999256602794,1281.4589581575606,1283.6807530543904,False,0.9843569920407256,,1091.2831131021342,1093.5049079989637,False,
H4_ccpvdz_PAR_HEA_v4_tapered__sha256_45b7b6da4d0a0e63,H4,parity,hea,5,ok,,25,16,4.492258351219913,1.299552928383267,27.392451830950293,31.884710182170206,False,0.02107836566920624,0.044985439476034395,130.3447223823464,134.83698073356632,False,0.10029966424261318,0.20603813314403752,245.38403460835755,249.87629295957748,False,0.18882188578008297,0.3705395316477387,160.89556093677925,165.38781928799918,False,0.12380839396587284,,2.1212520868090223,6.613510438028936,True,
H6_ccpvdz_JW_ADAPT_v4_casscf_tapered__sha256_def5987c2958af93,H6,jordan_wigner,adapt,9,ok,,400,424,9.27283033905768,2.675911505236993,1112.8676232509958,1122.1404535900535,False,0.41588356755184785,0.6941798223009982,2301.0173934344016,2310.290223773459,False,0.8599004073681469,0.9973653832327951,2536.6276673131806,2545.9004976522383,False,0.9479490118969848,0.9999933201194139,2373.5699172109935,2382.842747550051,False,0.8870136073505083,,1909.9251140374652,1919.1979443765229,False,
H6_ccpvdz_JW_HEA_v4_casscf_tapered__sha256_254551c7b5295e51,H6,jordan_wigner,hea,9,ok,,45,32,105.37665673132368,2.579807678844727,119.8852169460034,225.2618736773271,False,0.046470602413157265,0.08733891069023858,542.6853068718054,648.061963603129,False,0.21035882299366876,0.36751909344292977,963.3253173934052,1068.7019741247288,False,0.3734097410799224,0.601127450067971,648.8741563517864,754.2508130831101,False,0.2515203600922535,,29.253620293613114,134.6302770249368,False,
H6_ccpvdz_JW_HEA_v4_casscf_tapered__sha256_fa91a2bc19cff218,H6,jordan_wigner,hea,9,ok,,99,80,27.256325494540157,2.6579280100815104,298.55748917015654,325.81381466469674,False,0.11232715409812802,0.20282142170115036,1169.4670758022955,1196.7234012968358,False,0.4399920055646773,0.6789826520678695,1783.4192476829821,1810.6755731775224,False,0.6709810201474532,0.897692401428123,1342.693753566467,1369.950079061007,False,0.5051655832940677,,273.76075549709003,301.01708099163017,False,
HF_ccpvdz_BK_HEA_v4_tapered__sha256_0ac7d9bfa8215995,HF,bravyi_kitaev,hea,1,ok,,3,0,1.2723063491648645e-05,0.7106200431836385,0.2842101073383674,0.28422283040185903,True,0.00039994665231377633,0.00039994666903697684,1.4202927916215913,1.420305514685083,True,0.0019986669462045544,0.001998666962963025,2.838691871701826,2.838704594765318,True,0.003994669020288597,0.003994669037036935,5.6739905303686555,5.674003253432147,True,0.007984563037300064,,5.6736837450444e-06,1.8396747236693045e-05,True,
HF_ccpvdz_BK_UCCSD_v4_tapered__sha256_9175dd737dc93bed,HF,bravyi_kitaev,uccsd_tapered,1,ok,,1,0,5.848576734024391e-06,0.7106200500581252,0.09474933604280977,0.0947551846195438,True,0.00013333332775378312,0.00013333333333331865,0.473746696044941,0.47375254462167504,True,0.0006666666610464915,0.0006666666666667043,0.9474933961257648,0.9474992447024988,True,0.0013333333277723652,0.0013333333333332975,1.8944415242430068,1.8944473728197408,True,0.002665899342536213,,2.105906560245785e-07,6.0591673900489695e-06,True,
HF_ccpvdz_JW_HEA_v4_tapered__sha256_94244108ad3c4f44,HF,jordan_wigner,hea,1,ok,,3,0,4.762256367030204e-06,0.7106200511444598,0.28421011045054456,0.2842148727069116,True,0.000399946652212841,0.00039994666903697684,1.420292807495116,1.420297569751483,True,0.0019986669461517755,0.001998666962963025,2.838691903505719,2.838696665762086,True,0.003994669020292885,0.003994669037036935,5.673963302740503,5.6739680649968705,True,0.007984524632541026,,5.673726377608546e-06,1.043598274463875e-05,True,
HF_ccpvdz_JW_UCCSD_v4_tapered__sha256_65500d662073f9e4,HF,jordan_wigner,uccsd_tapered,1,ok,,1,0,1.826691686801496e-06,0.7106200540800245,0.0947493365686114,0.0947511632602982,True,0.0001333333277390754,0.00013333333333331865,0.47374669873079256,0.47374852542247936,True,0.0006666666610529442,0.0006666666666667043,0.9474934014548353,0.9474952281465221,True,0.001333333327725277,0.0013333333333332975,1.8944415309363194,1.8944433576280062,True,0.0026658993368669863,,2.106190777340089e-07,2.037310764535505e-06,True,
