=== early-stopping control: 480 jobs, 30 at a time ===
LiH_LBFGSB_r_exact_T100000000_P100000_s9     evals= 1000 shots=          0  gap_final=     0.05  gap_best=     0.05 mHa
LiH_LBFGSB_r_uniform_T100000000_P100000_s1   evals= 1000 shots=   99946000  gap_final=   701.61  gap_best=   698.09 mHa
LiH_LBFGSB_ps_uniform_T100000000_P100000_s2  evals=  248 shots=   24786608  gap_final=   700.70  gap_best=   427.49 mHa
LiH_LBFGSB_ps_uniform_T100000000_P100000_s7  evals=  279 shots=   27884934  gap_final=   698.16  gap_best=   404.46 mHa
LiH_LBFGSB_ps_uniform_T100000000_P100000_s6  evals=  310 shots=   30983260  gap_final=   702.42  gap_best=   395.10 mHa
LiH_LBFGSB_ps_uniform_T100000000_P100000_s1  evals=  248 shots=   24786608  gap_final=   701.61  gap_best=   428.31 mHa
LiH_LBFGSB_r_uniform_T100000000_P100000_s5   evals= 1000 shots=   99946000  gap_final=   706.19  gap_best=   706.19 mHa
LiH_LBFGSB_ps_uniform_T100000000_P100000_s3  evals=  279 shots=   27884934  gap_final=   699.57  gap_best=   414.18 mHa
LiH_LBFGSB_r_weighted_T100000000_P100000_s0  evals= 1000 shots=   99908000  gap_final=   722.49  gap_best=   716.13 mHa
LiH_LBFGSB_ps_uniform_T100000000_P100000_s4  evals=  496 shots=   49573216  gap_final=   696.34  gap_best=   393.52 mHa
LiH_LBFGSB_r_neyman_T100000000_P100000_s3    evals= 1000 shots=   99923254  gap_final=   699.57  gap_best=   699.57 mHa
LiH_LBFGSB_r_weighted_T100000000_P100000_s5  evals= 1000 shots=   99908000  gap_final=   706.19  gap_best=   706.19 mHa
LiH_LBFGSB_r_neyman_T100000000_P100000_s7    evals= 1000 shots=   99923831  gap_final=   713.45  gap_best=   713.45 mHa
LiH_LBFGSB_ps_uniform_T100000000_P100000_s0  evals=  620 shots=   61966520  gap_final=   704.22  gap_best=   417.60 mHa
LiH_LBFGSB_r_weighted_T100000000_P100000_s6  evals= 1000 shots=   99908000  gap_final=   705.73  gap_best=   705.72 mHa
LiH_LBFGSB_ps_uniform_T100000000_P100000_s5  evals=  310 shots=   30983260  gap_final=   700.29  gap_best=   413.48 mHa
LiH_LBFGSB_r_weighted_T100000000_P100000_s7  evals= 1000 shots=   99908000  gap_final=   713.45  gap_best=   713.45 mHa
LiH_LBFGSB_ps_weighted_T100000000_P100000_s7 evals=  248 shots=   24777184  gap_final=   698.63  gap_best=   410.75 mHa
LiH_LBFGSB_r_neyman_T100000000_P100000_s9    evals= 1000 shots=   99924438  gap_final=   717.58  gap_best=   717.58 mHa
LiH_LBFGSB_r_neyman_T100000000_P100000_s0    evals= 1000 shots=   99924367  gap_final=   722.49  gap_best=   722.49 mHa
LiH_LBFGSB_r_neyman_T100000000_P100000_s1    evals= 1000 shots=   99924096  gap_final=   701.61  gap_best=   701.38 mHa
LiH_LBFGSB_r_neyman_T100000000_P100000_s6    evals= 1000 shots=   99924018  gap_final=   705.73  gap_best=   705.79 mHa
LiH_LBFGSB_ps_weighted_T100000000_P100000_s6 evals=  217 shots=   21680036  gap_final=   693.11  gap_best=   375.48 mHa
LiH_LBFGSB_ps_uniform_T100000000_P100000_s9  evals=  372 shots=   37179912  gap_final=   699.74  gap_best=   386.02 mHa
LiH_LBFGSB_ps_neyman_T100000000_P100000_s1   evals=  279 shots=   27879412  gap_final=   690.27  gap_best=   407.54 mHa
LiH_LBFGSB_ps_weighted_T100000000_P100000_s5 evals=  248 shots=   24777184  gap_final=   706.19  gap_best=   422.36 mHa
LiH_LBFGSB_ps_exact_T100000000_P100000_s0    evals= 1000 shots=          0  gap_final=   178.99  gap_best=     2.09 mHa
LiH_LBFGSB_ps_weighted_T100000000_P100000_s2 evals=  279 shots=   27874332  gap_final=   697.30  gap_best=   425.63 mHa
LiH_LBFGSB_ps_weighted_T100000000_P100000_s0 evals=  372 shots=   37165776  gap_final=   699.84  gap_best=   412.07 mHa
LiH_LBFGSB_r_neyman_T100000000_P100000_s2    evals= 1000 shots=   99923626  gap_final=   707.59  gap_best=   680.32 mHa
LiH_LBFGSB_ps_exact_T100000000_P100000_s5    evals= 1000 shots=          0  gap_final=   336.43  gap_best=     3.88 mHa
LiH_LBFGSB_ps_neyman_T100000000_P100000_s3   evals=  279 shots=   27879367  gap_final=   693.92  gap_best=   407.47 mHa
LiH_LBFGSB_ps_exact_T100000000_P100000_s6    evals=  930 shots=          0  gap_final=     0.12  gap_best=     0.12 mHa
LiH_LBFGSB_ps_exact_T100000000_P100000_s1    evals= 1000 shots=          0  gap_final=   213.85  gap_best=     0.50 mHa
LiH_LBFGSB_ps_weighted_T100000000_P100000_s3 evals=  403 shots=   40262924  gap_final=   694.88  gap_best=   404.25 mHa
LiH_LBFGSB_ps_weighted_T100000000_P100000_s4 evals=  372 shots=   37165776  gap_final=   690.59  gap_best=   387.90 mHa
LiH_LBFGSB_ps_exact_T100000000_P100000_s2    evals= 1000 shots=          0  gap_final=   190.60  gap_best=     0.20 mHa
LiH_LBFGSB_ps_neyman_T100000000_P100000_s0   evals=  372 shots=   37172366  gap_final=   699.15  gap_best=   394.14 mHa
LiH_LBFGSB_ps_exact_T100000000_P100000_s3    evals= 1000 shots=          0  gap_final=   110.12  gap_best=     0.17 mHa
LiH_LBFGSB_ps_exact_T100000000_P100000_s8    evals= 1000 shots=          0  gap_final=   444.52  gap_best=     0.10 mHa
LiH_LBFGSB_ps_exact_T100000000_P100000_s9    evals= 1000 shots=          0  gap_final=   409.19  gap_best=     0.10 mHa
LiH_LBFGSB_ps_exact_T100000000_P100000_s4    evals= 1000 shots=          0  gap_final=   228.24  gap_best=     0.07 mHa
LiH_LBFGSB_r_neyman_T100000000_P100000_s4    evals= 1000 shots=   99925050  gap_final=   706.36  gap_best=   706.36 mHa
LiH_LBFGSB_ps_exact_T100000000_P100000_s7    evals= 1000 shots=          0  gap_final=   194.84  gap_best=     0.15 mHa
LiH_LBFGSB_r_neyman_T100000000_P100000_s5    evals= 1000 shots=   99925017  gap_final=   706.19  gap_best=   706.19 mHa
LiH_LBFGSB_ps_neyman_T100000000_P100000_s2   evals=  279 shots=   27879245  gap_final=   698.40  gap_best=   410.88 mHa
LiH_LBFGSB_ps_uniform_T100000000_P100000_s8  evals=  558 shots=   55769868  gap_final=   702.35  gap_best=   402.71 mHa
LiH_LBFGSB_ps_weighted_T100000000_P100000_s1 evals=  651 shots=   65040108  gap_final=   498.12  gap_best=   321.61 mHa
LiH_LBFGSB_ps_weighted_T100000000_P100000_s9 evals=  465 shots=   46457220  gap_final=   695.13  gap_best=   372.01 mHa
LiH_LBFGSB_ps_weighted_T100000000_P100000_s8 evals=  930 shots=   92914440  gap_final=     2.70  gap_best=     2.70 mHa
LiH_LBFGSB_ps_neyman_T100000000_P100000_s7   evals=  992 shots=   99123780  gap_final=     3.48  gap_best=     3.48 mHa
LiH_LBFGSB_ps_neyman_T100000000_P100000_s6   evals=  837 shots=   83635400  gap_final=    26.28  gap_best=    26.28 mHa
LiH_LBFGSB_ps_r_uniform_T100000000_P100000_s8 evals= 1000 shots=   99946000  gap_final=   702.35  gap_best=   396.46 mHa
LiH_LBFGSB_ps_r_weighted_T100000000_P100000_s2 evals= 1000 shots=   99908000  gap_final=   695.61  gap_best=   425.63 mHa
LiH_LBFGSB_ps_r_weighted_T100000000_P100000_s3 evals= 1000 shots=   99908000  gap_final=   691.85  gap_best=   374.15 mHa
LiH_LBFGSB_ps_r_weighted_T100000000_P100000_s4 evals= 1000 shots=   99908000  gap_final=   690.59  gap_best=    68.92 mHa
LiH_LBFGSB_ps_r_weighted_T100000000_P100000_s7 evals= 1000 shots=   99908000  gap_final=   690.47  gap_best=   376.51 mHa
LiH_LBFGSB_ps_r_weighted_T100000000_P100000_s8 evals= 1000 shots=   99908000  gap_final=     2.70  gap_best=     2.70 mHa
LiH_LBFGSB_ps_r_uniform_T100000000_P100000_s0 evals= 1000 shots=   99946000  gap_final=   697.16  gap_best=   394.22 mHa
LiH_LBFGSB_ps_neyman_T100000000_P100000_s4   evals=  806 shots=   80537893  gap_final=     2.82  gap_best=     2.82 mHa
LiH_LBFGSB_ps_neyman_T100000000_P100000_s8   evals=  837 shots=   83636032  gap_final=     1.54  gap_best=     1.54 mHa
LiH_LBFGSB_ps_r_uniform_T100000000_P100000_s7 evals= 1000 shots=   99946000  gap_final=   697.97  gap_best=   404.46 mHa
LiH_LBFGSB_ps_r_exact_T100000000_P100000_s0  evals= 1000 shots=          0  gap_final=   178.99  gap_best=     2.09 mHa
LiH_LBFGSB_ps_r_exact_T100000000_P100000_s1  evals= 1000 shots=          0  gap_final=   213.85  gap_best=     0.50 mHa
LiH_LBFGSB_ps_neyman_T100000000_P100000_s5   evals= 1000 shots=   99923327  gap_final=   239.50  gap_best=     3.47 mHa
LiH_LBFGSB_ps_r_neyman_T100000000_P100000_s3 evals= 1000 shots=   99924020  gap_final=   693.92  gap_best=     4.82 mHa
